悲陳陶 // 0737,0105,1.291,PDF
悲青坂 // 0742,0106,1.293,PDF
對雪 // 0748,0107,1.294,PDF
月夜 // 0733,0108,1.295,PDF
遣興 // 0794,0109,1.295,PDF
元日寄韋氏妹 // 0752,0110,1.296,PDF
蘇端薛復筵簡薛華醉歌 // 0695,0111,1.297,PDF
春望 // 0779,0112,1.300,PDF
送率府程録事還鄉 // 0710,0113,1.301,PDF
憶幼子 // 0786,0114,1.303,PDF
一百五日夜對月 // 0789,0115,1.304,PDF
雨過蘇端 // 0809,0116,1.306,PDF
哀江頭 // 0760,0117,1.307,PDF
大雲寺贊公房四首 // 0797,0118,1.310,PDF
喜晴 // 0813,0119,1.316,PDF
得舍弟消息 // 0783,0120,1.319,PDF
晦日尋崔戢李封 // 0703,0121,1.320,PDF
喜達行在所三首 // 0824,0122,2.325,PDF
述懷 // 0841,0123,2.328,PDF
彭衙行 // 0925,0124,2.331,PDF
塞蘆子 // 0755,0125,2.333,PDF
送長孫九侍御赴武威判官 // 0848,0126,2.335,PDF
送樊二十三侍御赴漢中判官 // 0833,0127,2.338,PDF
送從弟亞赴河西判官 // 0853,0128,2.342,PDF
送韋十六評事充同谷郡防禦判官 // 0861,0129,2.345,PDF
奉送郭中丞兼太僕卿充隴右節度使三十韻 // 0875,0130,2.349,PDF
送楊六判官使西蕃 // 0890,0131,2.356,PDF
月 // 0871,0132,2.360,PDF
哭長孫侍御 // 6497,0133,2.360,PDF
得家書 // 0868,0134,2.361,PDF
奉贈嚴八閣老 // 0899,0135,2.363,PDF
留别賈嚴二閣老兩院補闕 // 0902,0136,2.364,PDF
晚行口號 // 0917,0137,2.365,PDF
獨酌成詩 // 0922,0138,2.366,PDF
九成宮 // 0904,0139,2.367,PDF
徒步歸行 // 0909,0140,2.369,PDF
玉華宮 // 0912,0141,2.371,PDF
北征 // 0943,0142,2.372,PDF
行次昭陵 // 0184,0143,2.380,PDF
重經昭陵 // 0199,0144,2.382,PDF
羌村三首 // 0934,0145,2.383,PDF
喜聞官軍已臨賊寇二十韻 // 0972,0146,2.386,PDF
收京三首 // 0979,0147,2.389,PDF
洗兵馬 // 1252,0148,2.392,PDF
臘日 // 0994,0149,2.399,PDF
宣政殿退朝晚出左掖 // 1013,0150,2.401,PDF
晚出左掖 // 1025,0151,2.402,PDF
紫宸殿退朝口號 // 1017,0152,2.403,PDF
送李校書二十六韻 // 1085,0153,2.404,PDF
曲江二首 // 1045,0154,2.408,PDF
曲江值雨 // 1058,0155,2.409,PDF
曲江對酒 // 1052,0156,2.410,PDF
奉和賈至舍人早朝大明宫舍人先世嘗掌絲綸 // 0998,0157,2.412,PDF
題省中院壁 // 1028,0158,2.413,PDF
春宿左省 // 1021,0159,2.415,PDF
送翰林張司馬南海勒碑相國製文 // 1037,0160,2.416,PDF
曲江陪鄭八丈南史飲 // 1040,2.416,PDF
鄭駙馬池臺喜遇鄭廣文同飲 // 0819,2.418,PDF
送賈閣老出汝州 // 1034,2.420,PDF
送鄭十八虔貶台州司户傷其臨老陷賊之故闕爲面别情見於詩 // 0989,2.422,PDF
題鄭十八著作丈 // 1105,2.423,PDF
偪側行贈畢曜 // 1095,2.426,PDF
留花門 // 1164,2.430,PDF
贈畢四曜 // 1102,2.433,PDF
酬孟雲卿 // 1126,2.434,PDF
奉贈王中允 // 1009,2.435,PDF
奉陪鄭駙馬韋曲二首 // 1064,2.436,PDF
奉答岑參補闕見贈 // 1006,2.437,PDF
端午日賜衣 // 1122,2.438,PDF
送許八拾遺歸江寧覲省甫昔時嘗客遊此縣於許生處乞瓦棺寺維摩圖樣志諸篇末 // 1069,2.440,PDF
因許八寄江寧旻上人 // 1075,2.443,PDF
夏日歎 // 1330,2.444,PDF
夏夜歎 // 1334,2.446,PDF
至德二載甫自京金光門出間道歸鳳翔乾元初從左拾遺移華州掾與親故别因出此門有悲往事 // 1129,2.449,PDF
奉同郭給事湯東靈湫作 // 0656,2.451,PDF
題鄭縣亭子 // 1139,2.456,PDF
望嶽 // 1144,2.457,PDF
至日遣興奉寄兩院遺補二首 // 1204,2.459,PDF
湖城東遇孟雲卿復歸劉顥宅宿宴飲散因爲醉歌 // 1225,2.460,PDF
閿鄉姜七少府設鱠戲贈長歌 // 1216,2.462,PDF
戲贈閿鄉秦少公短歌 // 1222,2.464,PDF
李鄠縣丈人胡馬行 // 1230,2.464,PDF
路逢襄陽少府入城戲呈楊員外綰 // 1212,2.466,PDF
潼關吏 // 1294,2.467,PDF
石壕吏 // 1288,2.470,PDF
新安吏收京後作雖收兩京賊猶充斥 // 1280,2.471,PDF
新婚别 // 1299,2.474,PDF
垂老别 // 1308,2.477,PDF
無家别 // 1316,2.479,PDF
瘦馬行 // 1190,2.481,PDF
義鶻行 // 1110,2.483,PDF
畫鶻行 // 1118,2.486,PDF
憶弟二首時歸在陸渾莊 // 1233,2.487,PDF
得舍弟消息 // 1083,2.489,PDF
贈衛八處士 // 1324,2.489,PDF
重題鄭氏東亭在新安界 // 1276,2.491,PDF
早秋苦熱堆案相仍 // 1151,2.492,PDF
立秋後題 // 1338,2.493,PDF
夢李白 // 1356,2.494,PDF
有懷台州鄭十八司户虔 // 1366,2.496,PDF
天河 // 1527,2.499,PDF
寄嶽州賈司馬六丈巴州嚴八使君兩閣老五十韻 // 1642,2.500,PDF
山寺 // 2994,2.508,PDF
示姪佐 // 1597,2.509,PDF
佐還山後寄三首 // 1600,2.510,PDF
宿贊公房 // 1484,2.511,PDF
寄高三十五詹事 // 1135,2.512,PDF
月夜憶舍弟 // 1471,2.513,PDF
雨晴 // 3918.,2.514,PDF
即事 // 1521,2.514,PDF
歸燕 // 1540,2.515,PDF
遣興三首 // 1340,2.516,PDF
赤谷西崦人家 // 1481,2.520,PDF
初月 // 1532,2.521,PDF
擣衣 // 1536,2.522,PDF
促織 // 1543,2.523,PDF
螢火 // 1546,2.524,PDF
苦竹 // 1555,2.525,PDF
貽阮隱居 // 1610,2.527,PDF
寄張十二山人彪三十韻 // 1666,2.528,PDF
得舍弟消息二首 // 1238,2.533,PDF
秦州雜詩二十首 // 1405,2.534,PDF
遣興五首 // 1376,2.549,PDF
寄贊上人 // 1498,2.553,PDF
寓目 // 1514,2.555,PDF
遣懷 // 1524,2.555,PDF
蒹葭 // 1551,2.556,PDF
除架 // 1559,2.556,PDF
廢畦 // 1563,2.557,PDF
秋笛 // 3943,2.557,PDF
天末懷李白 // 1475,2.558,PDF
獨立 // 1248,2.559,PDF
野望 // 1586,2.559,PDF
秋日阮隱居致薤三十束 // 1614,2.560,PDF
送張二十參軍赴蜀州因呈楊五侍御 // 0403,2.560,PDF
秦州見勅目薛三璩授司議郎畢四曜除監察與二子有故遠喜遷官兼述索居三十韻 // 1616,2.563,PDF
寄彭州高三十五使君適虢州岑二十七長史參三十韻 // 1629,2.569,PDF
病後過王倚飲贈歌 // 0223,2.572,PDF
西枝村尋置草堂地夜宿贊公土室二首 // 1488,2.574,PDF
太平寺泉眼 // 1503,2.576,PDF
佳人 // 1349,2.578,PDF
送遠 // 1590,2.580,PDF
空囊 // 1571,2.580,PDF
送人從軍 // 1594,2.581,PDF
東樓 // 1508,2.582,PDF
夕烽 // 1565,2.583,PDF
觀兵 // 1243,2.583,PDF
不歸 // 1245,2.584,PDF
日暮 // 1584,2.584,PDF
蕃劍 // 1577,2.585,PDF
病馬 // 1575,2.586,PDF
銅甁 // 1580,2.586,PDF
觀安西兵過赴關中待命二首 // 1156,2.587,PDF
兩當縣吴十侍御江上宅 // 1810,2.587,PDF
别贊上人 // 1694,2.593,PDF
發秦州 // 1699,2.596,PDF
赤谷 // 1707,2.599,PDF
鐵堂峽 // 1711,2.600,PDF
鹽井 // 1717,2.601,PDF
寒硤 // 1712,2.602,PDF
法鏡寺 // 1722,2.603,PDF
青陽峽 // 1733,2.604,PDF
龍門鎭 // 1740,2.606,PDF
石龕 // 1744,2.607,PDF
積草嶺 // 1750,2.609,PDF
泥功山 // 1755,2.610,PDF
鳳凰臺 // 1759,2.611,PDF
乾元中寓居同谷縣作歌七首 // 1770,2.614,PDF
萬丈潭 // 1801,2.622,PDF
發同谷縣 // 1821,2.625,PDF
木皮嶺 // 1828,2.627,PDF
白沙渡 // 1835,2.629,PDF
水會渡 // 1840,2.630,PDF
飛仙閣 // 1846,2.631,PDF
五盤 // 1853,2.631,PDF
龍門閣 // 1857,2.632,PDF
石櫃閣 // 1863,2.633,PDF
桔柏渡 // 1868,2.634,PDF
劍門 // 1873,2.635,PDF
鹿頭山 // 1885,2.638,PDF
成都府 // 1892,2.640,PDF
西郊 // 2093,2.642,PDF
所思 // 1373,2.643,PDF
卜居 // 1907,2.644,PDF
春夜喜雨 // 2125,2.645,PDF
春水生二絶 // 2161,2.645,PDF
江畔獨步尋花七絶句 // 2219,2.646,PDF
江頭五詠 // 2516,2.648,PDF
堂成 // 1926,2.650,PDF
蜀相 // 1930,2.651,PDF
賓至 // 1953,2.652,PDF
有客 // 1947,2.653,PDF
爲農 // 1944,2.653,PDF
梅雨 // 1940,2.654,PDF
田舍 // 1962,2.655,PDF
江漲 // 1970,2.655,PDF
江村 // 1965,2.656,PDF
石犀行 // 1988,2.657,PDF
石笋行 // 1982,2.660,PDF
杜鵑行 // 1989,2.663,PDF
三絶句 // 2570,2.664,PDF
寄李十二白二十韻 // 1681,2.666,PDF
狂夫 // 1955,2.669,PDF
進艇 // 2294,2.670,PDF
野老 // 1972,2.670,PDF
雲山 // 1977,2.671,PDF
遣興 // 1980,2.672,PDF
北鄰 // 2013,2.672,PDF
南鄰 // 2016,2.673,PDF
過南鄰朱山人水亭 // 3160,2.673,PDF
恨别 // 2040,2.674,PDF
散愁二首 // 2047,2.674,PDF
